弹幕,重复次数
保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋,49.0
保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋,49.0
死地,49.0
把渔场破坏了，造成的经济损失可能远远超过排水省的钱，小日子的眼光真短浅,49.0
环太平洋了家人们,49.0
报道有什么，反正都不管，该排还是排,49.0
为什么联合国不能出技术阻止呢？,49.0
所以吃的海鲜,49.0
抵制一切日货,49.0
环太平洋就要实现了,49.0
早就在偷偷排了,49.0
吃了会掉健康值个理智值,49.0
保护地球家园！海洋不是日本自家的马桶，日本违反了《伦敦倾废公约》和《联合国海洋法公约》,49.0
影响它自己,49.0
那不是美国海军基地所在吗？,49.0
如果用蘑菇蛋的话，氢弹合适还是原子弹合适,49.0
排了也不能放弃！一放弃就全完了！我不愿意那美丽的大海遭到那狼子贼心之辈的破坏。大家不要以为大海的破坏与我们没有关系，水是生命之源，如果大海受到破坏，我相信来自大自然反噬也终究回归到我们自己身上。虽然,49.0
扣除健康、恢复速度、理智的数值上限,49.0
被核弹炸过，吸核辐射吸上瘾了是吧！,49.0
这个曲线图估计是符合东电的经济曲线了,49.0
什么人类的叛徒，根本就不是人,49.0
美国为什么一直支持小鬼子排，因为他们自己就在偷偷排，正好小鬼子能帮忙转移视线，这样他们也能正大光明地排了,49.0
前面的为什么是记者去？你可以自己去，记者的命难道不是命？,49.0
小八嘎,49.0
日本邪恶的国家,49.0
不是高中地理吗  世界洋流,49.0
珍爱生命远离日货,49.0
今天体检发现一堆数据不正常  好了吧  现在苟都不用苟了,49.0
不为别的，为了我们的孩子们，动手吧！忍不了了！,49.0
美国会不会送日本第三枚核弹？,49.0
把晨睿刹了！夺它的鸟位！,49.0
我猜测日本会举国逃离亚洲,49.0
可以在我们海域修一个围墙样式的核污水过滤器吗？不想垃圾日本污染我们家园。,49.0
先去美国。,49.0
当然背后美国的始作俑者们你们也一样跑不掉。,49.0
从现在开始就不存在了,49.0
可恶的日本鬼子,49.0
影响最大的可能还是中国,49.0
人类补完？不完,49.0
想不到我见证了人类毁灭的开始,49.0
这么难受 你为啥不干呢?,49.0
我觉得这就是软核武器。,49.0
不是有几个堆芯熔融了吗？那几个堆芯是不是就不管了,49.0
你能好点什么,49.0
热知识：你就算跑去哪都会被影响,49.0
拿全球生物做实验,49.0
唔！是谁住在深海的大菠萝里～,49.0
倭奴不是人类,49.0
日本：做咩呀 关我屁事,49.0
罐罐：核污水可算排出去了，但是地球遭殃了，不过好像也没啥事,49.0
持续抵制日本所有产品,49.0
很明显，他们想要哥斯拉,49.0
就没有义士送它两颗蘑菇吗,49.0
不断抵制倭奴排核污直至停排,49.0
能动手别BB,49.0
不排除暗暗排放,49.0
啊啊啊啊啊,49.0
流浪地球的时候，不要带上日本,49.0
人类罪人日本,49.0
道理都懂了，请问我怎么去阻止排放,49.0
